id	gene1	gene2	driver_score
1	BSG	NFIX	0.058059443
2	BRWD1	TEKT4P2	0.009433759
3	NOTCH1	NUP214	0.058059443
4	SMCHD1	RPL7AP57(101411),NDUFB11P1(72732)	0.02121124
5	PPP1R12A	SEPTIN10	0.18808806
6	RNU6ATAC(835),BX649601.1(3370)	CACNA1B	0.021260468
7	C5	LINC02872	0.05680583
8	WASF3	COL5A1	0.24825573
9	NSD2	OR7E43P(8261),OTOP1(5227)	0.020201486
10	FRG1GP	ERG	0.0121744815
11	INIP	C5	0.0
12	INIP	CDC26	0.0
13	AC093523.1	C9orf129	0.030614065
14	URM1	ATP8A2	0.009415199
15	EHMT1	NTNG2	0.058059443
16	ZNF676	ZNF536	0.05892859
17	C5	FAM120A	0.009433759
18	CENPX	DUS1L	0.000011414762
